employee_id,company_id,first_name,last_name,country_code,contract_type,updated_at
1,1,Michael,Davis,IN,full-time,2024-03-09 00:00:00
1,1,Sophia,Carter,UK,contractor,2024-06-07 00:00:00
1,1,Emma,Brown,UK,contractor,2024-09-05 00:00:00
2,1,Emma,Martinez,AU,full-time,2024-08-04 00:00:00
2,1,Noah,Davis,BR,contractor,2024-11-02 00:00:00
3,1,James,Johnson,AU,full-time,2024-03-12 00:00:00
3,1,James,Anderson,BR,full-time,2024-06-10 00:00:00
4,2,George,Evans,BR,contractor,2024-07-15 00:00:00
4,2,Olivia,Lewis,BR,contractor,2024-10-13 00:00:00
4,2,Amelia,Taylor,US,full-time,2025-01-11 00:00:00
4,2,Charlotte,Harris,US,contractor,2025-04-11 00:00:00
5,3,Sophia,Johnson,AU,contractor,2024-10-02 00:00:00
5,3,Noah,Brown,US,full-time,2024-12-31 00:00:00
5,3,James,Brown,IN,full-time,2025-03-31 00:00:00
6,4,Olivia,Harris,US,full-time,2024-08-13 00:00:00
6,4,Ethan,White,BR,contractor,2024-11-11 00:00:00
6,4,Ethan,White,BR,full-time,2025-02-09 00:00:00
6,4,Olivia,King,AU,contractor,2025-05-10 00:00:00
7,4,Chloe,Harris,UK,full-time,2024-12-29 00:00:00
7,4,Olivia,King,US,contractor,2025-03-29 00:00:00
7,4,William,Wilson,AU,full-time,2025-06-27 00:00:00
7,4,Ethan,Taylor,IN,contractor,2025-09-25 00:00:00
8,4,William,Taylor,US,full-time,2024-10-20 00:00:00
8,4,Isabella,White,IN,full-time,2025-01-18 00:00:00
8,4,Chloe,King,UK,full-time,2025-04-18 00:00:00
9,5,Ava,Johnson,BR,full-time,2024-06-13 00:00:00
9,5,Noah,Martinez,IN,contractor,2024-09-11 00:00:00
10,5,Michael,Martinez,US,contractor,2024-07-11 00:00:00
10,5,Noah,Martinez,IN,contractor,2024-10-09 00:00:00
10,5,Emma,Johnson,IN,full-time,2025-01-07 00:00:00
11,5,Emma,Martinez,IN,full-time,2024-02-17 00:00:00
11,5,Noah,Johnson,UK,contractor,2024-05-17 00:00:00
11,5,Sophia,Johnson,IN,contractor,2024-08-15 00:00:00
11,5,James,Carter,AU,full-time,2024-11-13 00:00:00
12,6,Olivia,Walker,US,full-time,2024-09-05 00:00:00
12,6,Olivia,Lewis,US,full-time,2024-12-04 00:00:00
12,6,Charlotte,Lewis,BR,full-time,2025-03-04 00:00:00
13,6,Olivia,Taylor,IN,full-time,2024-08-07 00:00:00
13,6,Oliver,Walker,IN,contractor,2024-11-05 00:00:00
14,6,Olivia,Evans,UK,full-time,2024-02-12 00:00:00
14,6,Amelia,Evans,IN,full-time,2024-05-12 00:00:00
14,6,Amelia,Evans,US,full-time,2024-08-10 00:00:00
15,7,Michael,Davis,AU,full-time,2024-04-19 00:00:00
15,7,Noah,Martinez,BR,full-time,2024-07-18 00:00:00
15,7,Michael,Martinez,IN,full-time,2024-10-16 00:00:00
16,8,Isabella,White,UK,contractor,2024-12-21 00:00:00
16,8,Thomas,Taylor,US,full-time,2025-03-21 00:00:00
17,8,Ethan,King,BR,full-time,2024-06-09 00:00:00
17,8,Chloe,Taylor,UK,full-time,2024-09-07 00:00:00
17,8,William,Brown,US,full-time,2024-12-06 00:00:00
18,9,Isabela,Ferreira,UK,contractor,2024-06-28 00:00:00
18,9,Mateus,Ferreira,BR,full-time,2024-09-26 00:00:00
18,9,Gabriel,Oliveira,UK,full-time,2024-12-25 00:00:00
18,9,Mateus,Ferreira,BR,contractor,2025-03-25 00:00:00
19,9,Isabela,Santos,IN,full-time,2024-08-07 00:00:00
19,9,Isabela,Almeida,AU,contractor,2024-11-05 00:00:00
19,9,Julia,Oliveira,IN,full-time,2025-02-03 00:00:00
20,10,Sophia,Martinez,BR,contractor,2024-11-06 00:00:00
20,10,Ava,Anderson,UK,contractor,2025-02-04 00:00:00
20,10,Emma,Anderson,UK,contractor,2025-05-05 00:00:00
20,10,Ava,Brown,US,full-time,2025-08-03 00:00:00
21,10,Sophia,Johnson,AU,contractor,2024-07-03 00:00:00
21,10,James,Brown,UK,contractor,2024-10-01 00:00:00
21,10,Michael,Anderson,AU,full-time,2024-12-30 00:00:00
22,10,Sophia,Anderson,US,contractor,2024-01-08 00:00:00
22,10,Noah,Carter,AU,contractor,2024-04-07 00:00:00
22,10,Emma,Martinez,BR,full-time,2024-07-06 00:00:00
23,11,Rahul,Gupta,IN,full-time,2024-10-01 00:00:00
23,11,Arjun,Singh,AU,full-time,2024-12-30 00:00:00
23,11,Ananya,Verma,IN,contractor,2025-03-30 00:00:00
23,11,Rahul,Kumar,US,contractor,2025-06-28 00:00:00
24,11,Aarav,Gupta,US,full-time,2024-12-23 00:00:00
24,11,Vikram,Patel,US,contractor,2025-03-23 00:00:00
24,11,Rahul,Verma,US,contractor,2025-06-21 00:00:00
25,11,Aarav,Kumar,UK,full-time,2024-12-07 00:00:00
25,11,Vikram,Kumar,UK,full-time,2025-03-07 00:00:00
25,11,Ananya,Patel,IN,contractor,2025-06-05 00:00:00
25,11,Ananya,Sharma,UK,contractor,2025-09-03 00:00:00
26,12,Oliver,Lewis,IN,full-time,2024-03-01 00:00:00
26,12,Oliver,Evans,AU,full-time,2024-05-30 00:00:00
27,12,George,Harris,US,contractor,2024-09-11 00:00:00
27,12,George,Taylor,IN,full-time,2024-12-10 00:00:00
27,12,Oliver,Walker,AU,full-time,2025-03-10 00:00:00
28,12,George,Walker,US,full-time,2024-04-26 00:00:00
28,12,Charlotte,Walker,BR,contractor,2024-07-25 00:00:00
28,12,Amelia,Taylor,UK,full-time,2024-10-23 00:00:00
28,12,George,Evans,BR,full-time,2025-01-21 00:00:00
29,13,Ava,Carter,IN,full-time,2024-05-07 00:00:00
29,13,Noah,Carter,US,full-time,2024-08-05 00:00:00
29,13,Sophia,Davis,AU,full-time,2024-11-03 00:00:00
30,13,Emma,Carter,IN,contractor,2024-07-24 00:00:00
30,13,Michael,Brown,BR,full-time,2024-10-22 00:00:00
31,14,Rahul,Sharma,AU,full-time,2024-04-12 00:00:00
31,14,Priya,Sharma,AU,contractor,2024-07-11 00:00:00
31,14,Ananya,Kumar,AU,full-time,2024-10-09 00:00:00
32,14,Priya,Singh,UK,contractor,2024-03-18 00:00:00
32,14,Aarav,Kumar,US,contractor,2024-06-16 00:00:00
33,15,Aarav,Kumar,IN,full-time,2024-12-02 00:00:00
33,15,Ananya,Verma,UK,contractor,2025-03-02 00:00:00
33,15,Priya,Singh,UK,contractor,2025-05-31 00:00:00
34,16,William,Harris,IN,contractor,2024-01-23 00:00:00
34,16,Chloe,White,AU,full-time,2024-04-22 00:00:00
35,17,Emma,Anderson,AU,full-time,2024-03-09 00:00:00
35,17,Emma,Martinez,UK,full-time,2024-06-07 00:00:00
35,17,James,Carter,IN,contractor,2024-09-05 00:00:00
35,17,Ava,Martinez,IN,contractor,2024-12-04 00:00:00
36,17,Sophia,Anderson,UK,full-time,2024-08-19 00:00:00
36,17,Noah,Anderson,UK,full-time,2024-11-17 00:00:00
36,17,Sophia,Johnson,BR,contractor,2025-02-15 00:00:00
37,17,Noah,Carter,UK,contractor,2024-07-27 00:00:00
37,17,James,Johnson,IN,full-time,2024-10-25 00:00:00
38,18,Ethan,Taylor,AU,full-time,2024-03-21 00:00:00
38,18,Olivia,Wilson,UK,full-time,2024-06-19 00:00:00
38,18,Chloe,King,IN,contractor,2024-09-17 00:00:00
38,18,William,White,IN,contractor,2024-12-16 00:00:00
39,19,Amelia,Clark,AU,full-time,2024-01-16 00:00:00
39,19,Henry,Lewis,US,full-time,2024-04-15 00:00:00
39,19,Henry,Walker,US,full-time,2024-07-14 00:00:00
40,20,Oliver,Evans,US,contractor,2024-04-11 00:00:00
40,20,Henry,Walker,US,full-time,2024-07-10 00:00:00
40,20,Olivia,Lewis,UK,full-time,2024-10-08 00:00:00
41,21,Amelia,Walker,UK,contractor,2024-03-03 00:00:00
41,21,Olivia,Lewis,BR,full-time,2024-06-01 00:00:00
42,21,Amelia,Taylor,IN,full-time,2024-07-14 00:00:00
42,21,Charlotte,Harris,IN,contractor,2024-10-12 00:00:00
42,21,Charlotte,Walker,AU,full-time,2025-01-10 00:00:00
42,21,Olivia,Harris,BR,contractor,2025-04-10 00:00:00
43,22,Vikram,Sharma,BR,full-time,2024-09-02 00:00:00
43,22,Priya,Gupta,AU,full-time,2024-12-01 00:00:00
44,22,Vikram,Patel,IN,contractor,2024-11-18 00:00:00
44,22,Rahul,Patel,IN,contractor,2025-02-16 00:00:00
44,22,Priya,Sharma,UK,full-time,2025-05-17 00:00:00
44,22,Arjun,Verma,UK,full-time,2025-08-15 00:00:00
45,22,Priya,Verma,IN,full-time,2024-05-23 00:00:00
45,22,Ananya,Singh,UK,full-time,2024-08-21 00:00:00
46,23,Henry,Taylor,AU,contractor,2024-09-30 00:00:00
46,23,Oliver,Taylor,UK,full-time,2024-12-29 00:00:00
46,23,George,Harris,IN,full-time,2025-03-29 00:00:00
46,23,Olivia,Evans,IN,full-time,2025-06-27 00:00:00
47,23,Amelia,Clark,IN,full-time,2024-10-15 00:00:00
47,23,Amelia,Walker,US,full-time,2025-01-13 00:00:00
48,24,Henry,Clark,BR,full-time,2024-11-04 00:00:00
48,24,Oliver,Clark,UK,full-time,2025-02-02 00:00:00
49,25,Thomas,White,UK,full-time,2024-03-31 00:00:00
49,25,Thomas,Brown,IN,full-time,2024-06-29 00:00:00
49,25,Ethan,Taylor,BR,full-time,2024-09-27 00:00:00
50,25,Ethan,King,UK,contractor,2024-06-21 00:00:00
50,25,Chloe,Harris,IN,full-time,2024-09-19 00:00:00
50,25,Chloe,Brown,AU,contractor,2024-12-18 00:00:00
51,26,Charlotte,Lewis,IN,contractor,2024-12-06 00:00:00
51,26,Charlotte,Taylor,US,contractor,2025-03-06 00:00:00
51,26,George,Walker,UK,contractor,2025-06-04 00:00:00
51,26,George,Taylor,AU,full-time,2025-09-02 00:00:00
52,27,Julia,Oliveira,UK,contractor,2024-03-13 00:00:00
52,27,Lucas,Santos,US,contractor,2024-06-11 00:00:00
52,27,Sofia,Oliveira,IN,full-time,2024-09-09 00:00:00
53,27,Gabriel,Silva,IN,full-time,2024-05-07 00:00:00
53,27,Julia,Oliveira,US,contractor,2024-08-05 00:00:00
53,27,Sofia,Ferreira,BR,full-time,2024-11-03 00:00:00
53,27,Sofia,Cruz,BR,contractor,2025-02-01 00:00:00
54,28,Amelia,Clark,UK,full-time,2024-07-11 00:00:00
54,28,Amelia,Walker,US,contractor,2024-10-09 00:00:00
55,28,Oliver,Walker,US,contractor,2024-01-11 00:00:00
55,28,Charlotte,Lewis,UK,full-time,2024-04-10 00:00:00
55,28,George,Walker,IN,contractor,2024-07-09 00:00:00
56,28,Amelia,Evans,UK,contractor,2024-12-26 00:00:00
56,28,Charlotte,Walker,US,contractor,2025-03-26 00:00:00
57,29,Olivia,Clark,AU,contractor,2024-04-07 00:00:00
57,29,Olivia,Harris,IN,full-time,2024-07-06 00:00:00
57,29,Henry,Walker,BR,contractor,2024-10-04 00:00:00
58,30,Gabriel,Cruz,US,contractor,2024-01-28 00:00:00
58,30,Julia,Ferreira,AU,contractor,2024-04-27 00:00:00
58,30,Isabela,Oliveira,US,full-time,2024-07-26 00:00:00
59,31,Henry,Lewis,US,contractor,2024-11-22 00:00:00
59,31,Amelia,Lewis,BR,contractor,2025-02-20 00:00:00
59,31,Henry,Evans,AU,contractor,2025-05-21 00:00:00
60,32,Oliver,Taylor,BR,full-time,2024-07-08 00:00:00
60,32,Oliver,Lewis,BR,contractor,2024-10-06 00:00:00
60,32,Charlotte,Harris,AU,full-time,2025-01-04 00:00:00
61,33,Gabriel,Oliveira,IN,contractor,2024-12-22 00:00:00
61,33,Mateus,Santos,AU,full-time,2025-03-22 00:00:00
61,33,Sofia,Almeida,BR,contractor,2025-06-20 00:00:00
61,33,Mateus,Santos,BR,contractor,2025-09-18 00:00:00
62,34,Henry,Clark,AU,full-time,2024-07-21 00:00:00
62,34,Henry,Lewis,UK,full-time,2024-10-19 00:00:00
62,34,Charlotte,Taylor,UK,full-time,2025-01-17 00:00:00
62,34,Amelia,Walker,BR,full-time,2025-04-17 00:00:00
63,35,Ethan,Wilson,US,full-time,2024-03-16 00:00:00
63,35,Isabella,Brown,BR,contractor,2024-06-14 00:00:00
63,35,Ethan,Brown,BR,full-time,2024-09-12 00:00:00
63,35,Chloe,Brown,AU,contractor,2024-12-11 00:00:00
64,35,Olivia,King,AU,full-time,2024-02-27 00:00:00
64,35,Thomas,Brown,US,contractor,2024-05-27 00:00:00
64,35,William,Wilson,BR,contractor,2024-08-25 00:00:00
65,35,Isabella,Brown,AU,contractor,2024-07-15 00:00:00
65,35,Thomas,King,IN,contractor,2024-10-13 00:00:00
65,35,Olivia,Brown,AU,contractor,2025-01-11 00:00:00
65,35,Thomas,Harris,IN,full-time,2025-04-11 00:00:00
66,36,Lucas,Oliveira,IN,contractor,2024-08-31 00:00:00
66,36,Lucas,Silva,BR,full-time,2024-11-29 00:00:00
66,36,Isabela,Santos,IN,contractor,2025-02-27 00:00:00
67,37,Priya,Verma,US,full-time,2024-05-17 00:00:00
67,37,Priya,Gupta,BR,contractor,2024-08-15 00:00:00
67,37,Rahul,Sharma,US,full-time,2024-11-13 00:00:00
67,37,Vikram,Sharma,AU,contractor,2025-02-11 00:00:00
68,37,Rahul,Singh,UK,full-time,2024-03-10 00:00:00
68,37,Ananya,Singh,UK,full-time,2024-06-08 00:00:00
68,37,Priya,Singh,IN,full-time,2024-09-06 00:00:00
68,37,Arjun,Sharma,BR,contractor,2024-12-05 00:00:00
69,38,Thomas,King,IN,contractor,2024-03-04 00:00:00
69,38,William,Harris,UK,contractor,2024-06-02 00:00:00
69,38,William,Brown,IN,contractor,2024-08-31 00:00:00
69,38,Olivia,Wilson,US,contractor,2024-11-29 00:00:00
70,38,Thomas,King,AU,full-time,2024-01-15 00:00:00
70,38,Olivia,Taylor,UK,full-time,2024-04-14 00:00:00
70,38,Ethan,Taylor,BR,full-time,2024-07-13 00:00:00
71,38,Isabella,King,UK,full-time,2024-12-15 00:00:00
71,38,Olivia,Wilson,AU,contractor,2025-03-15 00:00:00
72,39,James,Johnson,BR,contractor,2024-12-29 00:00:00
72,39,Emma,Carter,UK,contractor,2025-03-29 00:00:00
